pitcher,team,games,runs_allowed,scoreless_first,scoreless_percentage,avg_runs_allowed
Kyle Freeland,Rockies,21,22,9,42.857142857142854,1.0476190476190477
Ryan Pepiot,Rays,24,9,18,75.0,0.375
Charlie Morton,Tigers,18,11,13,72.22222222222221,0.6111111111111112
Kevin Gausman,Blue Jays,23,7,18,78.26086956521739,0.30434782608695654
Mitch Keller,Pirates,23,8,17,73.91304347826086,0.34782608695652173
Connor Gillispie,Marlins,6,11,2,33.33333333333333,1.8333333333333333
Tanner Houck,Red Sox,9,0,9,100.0,0.0
Jack Leiter,Rangers,20,6,16,80.0,0.3
Tylor Megill,Mets,14,12,10,71.42857142857143,0.8571428571428571
Hunter Brown,Astros,22,7,18,81.81818181818183,0.3181818181818182
Jameson Taillon,Cubs,17,2,15,88.23529411764706,0.11764705882352941
Merrill Kelly,Rangers,23,16,14,60.86956521739131,0.6956521739130435
Jeffrey Springs,Athletics,22,13,15,68.18181818181817,0.5909090909090909
Luis Castillo,Mariners,23,0,23,100.0,0.0
Reynaldo López,Braves,1,1,0,0.0,1.0
Dylan Cease,Padres,23,11,18,78.26086956521739,0.4782608695652174
Jack Flaherty,Tigers,23,12,17,73.91304347826086,0.5217391304347826
Yoshinobu Yamamoto,Dodgers,21,14,14,66.66666666666666,0.6666666666666666
Nestor Cortes,Padres,3,5,1,33.33333333333333,1.6666666666666667
Max Fried,Yankees,23,6,19,82.6086956521739,0.2608695652173913
José Soriano,Angels,24,7,19,79.16666666666666,0.2916666666666667
Jonathan Cannon,White Sox,17,3,16,94.11764705882352,0.17647058823529413
Joe Ryan,Twins,21,4,18,85.71428571428571,0.19047619047619047
Erick Fedde,Braves,22,13,12,54.54545454545454,0.5909090909090909
Dean Kremer,Orioles,22,11,15,68.18181818181817,0.5
Max Scherzer,Blue Jays,8,6,5,62.5,0.75
Jesús Luzardo,Phillies,23,13,17,73.91304347826086,0.5652173913043478
Jake Irvin,Nationals,23,24,13,56.52173913043478,1.0434782608695652
Gavin Williams,Guardians,23,7,18,78.26086956521739,0.30434782608695654
Seth Lugo,Royals,21,6,18,85.71428571428571,0.2857142857142857
Justin Verlander,Giants,19,4,15,78.94736842105263,0.21052631578947367
Nick Lodolo,Reds,23,10,15,65.21739130434783,0.43478260869565216
Antonio Senzatela,Rockies,21,29,10,47.61904761904761,1.380952380952381
Zack Littell,Reds,23,6,18,78.26086956521739,0.2608695652173913
Bailey Falter,Royals,23,14,17,73.91304347826086,0.6086956521739131
Valente Bellozo,Marlins,5,1,4,80.0,0.2
Walker Buehler,Red Sox,19,2,18,94.73684210526315,0.10526315789473684
Tyler Mahle,Rangers,14,4,11,78.57142857142857,0.2857142857142857
Griffin Canning,Mets,16,5,13,81.25,0.3125
Spencer Arrighetti,Astros,3,3,2,66.66666666666666,1.0
Spencer Schwellenbach,Braves,17,8,11,64.70588235294117,0.47058823529411764
Randy Vásquez,Padres,22,6,18,81.81818181818183,0.2727272727272727
Shota Imanaga,Cubs,15,9,10,66.66666666666666,0.6
Brandon Pfaadt,D-backs,23,109,18,78.26086956521739,4.739130434782608
Reese Olson,Tigers,13,7,8,61.53846153846154,0.5384615384615384
Roki Sasaki,Dodgers,7,7,3,42.857142857142854,1.0
Osvaldo Bido,Athletics,9,7,5,55.55555555555556,0.7777777777777778
Bryce Miller,Mariners,10,1,9,90.0,0.1
Aaron Nola,Phillies,9,6,6,66.66666666666666,0.6666666666666666
Mitchell Parker,Nationals,23,19,15,65.21739130434783,0.8260869565217391
Aaron Civale,White Sox,13,5,10,76.92307692307693,0.38461538461538464
Marcus Stroman,Yankees,8,4,5,62.5,0.5
Tomoyuki Sugano,Orioles,21,14,14,66.66666666666666,0.6666666666666666
Chris Bassitt,Blue Jays,22,1,21,95.45454545454545,0.045454545454545456
Robbie Ray,Giants,23,7,19,82.6086956521739,0.30434782608695654
Nick Martinez,Reds,22,9,15,68.18181818181817,0.4090909090909091
Ryan Feltner,Rockies,6,3,4,66.66666666666666,0.5
Taj Bradley,Rays,21,17,11,52.38095238095239,0.8095238095238095
Andrew Heaney,Pirates,22,7,15,68.18181818181817,0.3181818181818182
Max Meyer,Marlins,12,5,7,58.333333333333336,0.4166666666666667
Tanner Bibee,Guardians,22,12,16,72.72727272727273,0.5454545454545454
