game_id,game_date,away_team,home_team,away_first_inning_runs,home_first_inning_runs,no_runs_first_inning,away_scoreless_first,home_scoreless_first,total_first_inning_runs,away_starting_pitcher,away_pitcher_id,home_starting_pitcher,home_pitcher_id,raw_linescore
778560,2025-03-28,Rockies,Rays,0,0,True,True,True,0,Kyle Freeland,607536,Ryan Pepiot,686752,"Final   1 2 3 4 5 6 7 8 9  R   H   E  
Rockies 0 0 1 1 0 0 0 0 0  2   7   1  
Rays    0 0 0 0 0 0 2 0 1  3   7   1  "
778549,2025-03-28,Orioles,Blue Jays,0,0,True,True,True,0,Charlie Morton,450203,Kevin Gausman,592332,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Orioles   0 0 1 1 0 0 0 0 0  2   3   2  
Blue Jays 0 0 0 5 0 1 2 0 0  8   14  1  "
778548,2025-03-28,Pirates,Marlins,0,0,True,True,True,0,Mitch Keller,656605,Connor Gillispie,687362,"Final   1 2 3 4 5 6 7 8 9  R   H   E  
Pirates 0 0 0 2 2 0 0 0 0  4   7   0  
Marlins 0 0 0 0 1 0 0 0 2  3   7   4  "
778550,2025-03-28,Red Sox,Rangers,0,0,True,True,True,0,Tanner Houck,656557,Jack Leiter,683004,"Final   1 2 3 4 5 6 7 8 9  R   H   E  
Red Sox 0 0 0 1 0 0 0 0 0  1   8   0  
Rangers 0 0 1 0 1 2 0 0 0  4   8   0  "
778518,2025-03-28,Mets,Astros,0,0,True,True,True,0,Tylor Megill,656731,Hunter Brown,686613,"Final  1 2 3 4 5 6 7 8 9  R   H   E  
Mets   0 2 1 0 0 0 0 0 0  3   5   0  
Astros 0 0 0 1 0 0 0 0 0  1   3   1  "
778543,2025-03-28,Cubs,D-backs,0,0,True,True,True,0,Jameson Taillon,592791,Merrill Kelly,518876,"Final   1 2 3 4 5 6 7 8 9  R   H   E  
Cubs    0 1 0 0 0 0 0 0 0  1   3   0  
D-backs 0 2 0 3 1 0 2 0 0  8   14  3  "
778541,2025-03-28,Athletics,Mariners,0,0,True,True,True,0,Jeffrey Springs,605488,Luis Castillo,622491,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Athletics 0 0 0 0 2 0 3 1 1  7   12  0  
Mariners  0 0 0 0 0 0 0 0 0  0   5   0  "
778542,2025-03-28,Braves,Padres,0,1,False,True,False,1,Reynaldo López,625643,Dylan Cease,656302,"Final  1 2 3 4 5 6 7 8 9  R   H   E  
Braves 0 0 2 0 1 0 0 0 0  3   5   0  
Padres 1 1 1 0 0 0 0 1 0  4   10  0  "
778544,2025-03-28,Tigers,Dodgers,0,0,True,True,True,0,Jack Flaherty,656427,Yoshinobu Yamamoto,808967,"Final   1 2 3 4 5 6 7 8 9 10 R   H   E  
Tigers  0 1 1 0 0 0 0 0 1 2  5   10  0  
Dodgers 0 0 0 0 0 2 0 1 0 5  8   8   0  "
778538,2025-03-29,Brewers,Yankees,0,4,False,True,False,4,Nestor Cortes,641482,Max Fried,608331,"Final   1 2 3 4 5 6 7 8 9  R   H   E  
Brewers 0 3 0 1 2 0 0 1 2  9   13  1  
Yankees 4 3 6 3 0 2 2 0 0  20  16  5  "
778534,2025-03-29,Angels,White Sox,0,0,True,True,True,0,José Soriano,667755,Jonathan Cannon,686563,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Angels    0 0 0 0 0 0 0 1 0  1   8   0  
White Sox 0 0 0 0 0 0 0 0 0  0   2   0  "
778528,2025-03-29,Twins,Cardinals,0,1,False,True,False,1,Joe Ryan,657746,Erick Fedde,607200,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Twins     0 1 0 0 0 0 0 0 0  1   3   0  
Cardinals 1 0 0 0 0 3 0 1 0  5   10  1  "
778536,2025-03-29,Orioles,Blue Jays,2,0,False,False,True,2,Dean Kremer,665152,Max Scherzer,453286,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Orioles   2 0 0 4 2 0 1 0 0  9   12  0  
Blue Jays 2 0 2 0 1 0 0 0 0  5   8   0  "
778535,2025-03-29,Phillies,Nationals,0,0,True,True,True,0,Jesús Luzardo,666200,Jake Irvin,663623,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Phillies  0 0 0 2 0 5 3 1 0  11  14  0  
Nationals 0 2 0 0 0 1 0 2 1  6   12  0  "
778529,2025-03-29,Guardians,Royals,0,0,True,True,True,0,Gavin Williams,668909,Seth Lugo,607625,"Final     1 2 3 4 5 6 7 8 9  R   H   E  
Guardians 0 1 1 0 1 0 0 0 0  3   5   0  
Royals    0 0 0 1 0 1 2 0 0  4   10  0  "
778540,2025-03-29,Giants,Reds,0,0,True,True,True,0,Justin Verlander,434378,Nick Lodolo,666157,"Final  1 2 3 4 5 6 7 8 9  R   H   E  
Giants 0 1 1 0 0 0 0 0 0  2   8   0  
Reds   0 0 1 0 1 1 0 0 0  3   8   0  "
778537,2025-03-29,Rockies,Rays,0,0,True,True,True,0,Antonio Senzatela,622608,Zack Littell,641793,"Final   1 2 3 4 5 6 7 8 9  R   H   E  
Rockies 0 0 1 0 0 0 1 0 0  2   6   0  
Rays    0 0 0 0 0 0 0 1 0  1   12  0  "
