team,games,scoreless_first,total_runs,scoreless_percentage,avg_first_inning_runs
Rockies,114,89,41,78.0701754385965,0.35964912280701755
Rays,116,89,51,76.72413793103449,0.4396551724137931
Orioles,114,91,37,79.82456140350878,0.32456140350877194
Blue Jays,114,97,29,85.08771929824562,0.2543859649122807
Pirates,115,83,52,72.17391304347827,0.45217391304347826
Marlins,113,82,54,72.56637168141593,0.4778761061946903
Red Sox,116,96,43,82.75862068965517,0.3706896551724138
Rangers,115,87,47,75.65217391304347,0.40869565217391307
Mets,114,83,51,72.80701754385966,0.4473684210526316
Astros,113,87,37,76.99115044247787,0.3274336283185841
Cubs,111,78,61,70.27027027027027,0.5495495495495496
D-backs,115,76,63,66.08695652173913,0.5478260869565217
Athletics,116,79,84,68.10344827586206,0.7241379310344828
Mariners,115,84,53,73.04347826086956,0.4608695652173913
Braves,114,83,54,72.80701754385966,0.47368421052631576
Padres,114,84,55,73.68421052631578,0.4824561403508772
Tigers,115,88,57,76.52173913043478,0.4956521739130435
Dodgers,112,76,71,67.85714285714286,0.6339285714285714
Brewers,113,89,50,78.76106194690266,0.4424778761061947
Yankees,113,77,64,68.14159292035397,0.5663716814159292
Angels,114,78,62,68.42105263157895,0.543859649122807
White Sox,111,92,37,82.88288288288288,0.3333333333333333
Twins,112,79,49,70.53571428571429,0.4375
Cardinals,115,88,35,76.52173913043478,0.30434782608695654
Phillies,113,79,66,69.91150442477876,0.584070796460177
Nationals,113,82,163,72.56637168141593,1.4424778761061947
Guardians,114,87,39,76.31578947368422,0.34210526315789475
Royals,114,83,47,72.80701754385966,0.41228070175438597
Giants,113,85,40,75.22123893805309,0.35398230088495575
Reds,117,82,161,70.08547008547008,1.376068376068376
